instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,participant,gender,age,frameRate,expName,date,
"Sit back, relax your muscles and body and pay attention to the following images.  No actions will be required.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,0,0,0,1,male,21,59.9316926907,IAT,2018_Nov_17_1735,
"Sit back, relax your muscles and body and pay attention to the following images.  No actions will be required.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,0,1,0,1,male,21,59.9316926907,IAT,2018_Nov_17_1735,
"Sit back, relax your muscles and body and pay attention to the following images.  No actions will be required.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,0,2,0,1,male,21,59.9316926907,IAT,2018_Nov_17_1735,
"Sit back, relax your muscles and body and pay attention to the following images.  No actions will be required.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,0,3,0,1,male,21,59.9316926907,IAT,2018_Nov_17_1735,
"Sit back, relax your muscles and body and pay attention to the following images.  No actions will be required.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,0,4,0,1,male,21,59.9316926907,IAT,2018_Nov_17_1735,
"Sit back, relax your muscles and body and pay attention to the following images.  No actions will be required.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,5,0,5,0,1,male,21,59.9316926907,IAT,2018_Nov_17_1735,
"Sit back, relax your muscles and body and pay attention to the following images.  No actions will be required.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,6,0,6,0,1,male,21,59.9316926907,IAT,2018_Nov_17_1735,
"Sit back, relax your muscles and body and pay attention to the following images.  No actions will be required.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,7,0,7,0,1,male,21,59.9316926907,IAT,2018_Nov_17_1735,
"Sit back, relax your muscles and body and pay attention to the following images.  No actions will be required.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,8,0,8,0,1,male,21,59.9316926907,IAT,2018_Nov_17_1735,
"Sit back, relax your muscles and body and pay attention to the following images.  No actions will be required.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,9,0,9,0,1,male,21,59.9316926907,IAT,2018_Nov_17_1735,
